,뮤지컬 이름,공연장,기간
88,뮤지컬 〈삼총사〉 - 부산,소향씨어터 신한카드홀,"2023.12.23~
2023.12.25"
89,"뮤지컬 〈스웨그에이지 외쳐,조선!〉 - 이천",이천아트홀 대공연장,"2023.11.10~
2023.11.11"
90,뮤지컬 〈시간을 건너는 집〉 - 고양,고양아람누리 새라새극장,"2023.10.21~
2023.10.29"
91,뮤지컬 〈시간을 건너는 집〉 - 안산,안산문화예술의전당 달맞이극장,"2023.10.13~
2023.10.15"
92,뮤지컬 〈시스터 액트〉,디큐브 링크아트센터,"2023.11.21~
2024.02.11"
93,뮤지컬 〈시스터액트〉 - 부산,소향씨어터 신한카드홀,"2023.11.04~
2023.11.11"
94,뮤지컬 〈얼쑤〉 - 인천,남동소래아트홀 소래극장,"2023.12.07~
2023.12.09"
95,뮤지컬 〈여신님이 보고 계셔〉 10th Anniversary - 대전,대전예술의전당 아트홀,"2023.10.27~
2023.10.29"
96,뮤지컬 〈오! 당신이 잠든 사이〉 - 대전,대전 평송청소년문화센터 대극장,"2023.12.22~
2023.12.25"
97,뮤지컬 〈오! 당신이 잠든 사이〉 - 의정부,의정부예술의전당 소극장,"2023.11.18~
2023.11.18"
98,뮤지컬 〈오즈의 의류수거함〉,시온아트홀,"2023.11.03~
2023.11.30"
99,뮤지컬 〈왓 이프〉,대학로 룸씨어터,"2023.05.19~
2023.12.31"
100,뮤지컬 〈왕세자실종사건〉 - 여주,세종국악당,"2023.11.03~
2023.11.04"
101,뮤지컬 〈전설의 리틀 농구단〉 - 부산,영화의전당 하늘연극장,"2023.11.04~
2023.11.05"
102,뮤지컬 〈조선 이야기꾼 전기수〉 - 김포,김포아트홀,"2023.10.27~
2023.10.28"
103,뮤지컬 〈테레즈 라캥〉 - 공주,공주문예회관 대공연장,"2023.11.09~
2023.11.11"
104,뮤지컬 〈테레즈 라캥〉 - 인천,청라블루노바홀,"2023.11.17~
2023.11.18"
105,뮤지컬 〈테레즈 라캥〉 - 홍성,홍주문화회관,"2023.11.03~
2023.11.04"
