,연극 이름,공연장,기간
124,더 클라운_부산국제공연예술마켓(BPAM),부산시민회관 대극장,"2023.10.15~
2023.10.15"
125,데드센터 〈베케트의 방〉 - 세종시,세종예술의전당(세종특별자치시),"2023.10.19~
2023.10.21"
126,두 남자,후암스테이지,"2023.11.18~
2023.11.19"
127,드립소년단,졸탄 극장,"2022.08.08~
2023.12.04"
128,뚜껑없는 열차,스카이씨어터,"2023.10.10~
2023.10.22"
129,러브레터,대학로 창조소극장,"2023.10.09~
2023.10.10"
130,"레 미제라블, 용서의 이야기",예술공간 혜화,"2023.11.14~
2023.11.16"
131,로맨틱연극［연애하기좋은날:당근거래］,우리소극장,"2023.09.22~
2023.10.15"
132,로맨틱코미디 〈슬기로운 신혼생활〉,아루또 소극장,"2022.04.07~
2023.10.31"
133,마담 칼리가리의 캐비넷,예술공간 혜화,"2023.11.18~
2023.11.19"
134,마셴카 MASHENKA,별감,"2023.10.13~
2023.10.15"
135,마침표 - 군포,군포문화예술회관 철쭉홀,"2023.10.28~
2023.10.28"
136,머릿속에 천 마리 벌,여행자 극장,"2023.10.19~
2023.10.22"
137,명품 코믹 연극 〈죽여주는이야기〉 - 광주,광주5.18기념문화센터 민주홀,"2023.12.01~
2023.12.03"
138,모든 날 모든 순간,지즐소극장,"2023.09.08~
2023.10.30"
139,무간도,대학로 민송아트홀 2관,"2023.11.14~
2023.11.16"
140,문화가 있는 날 Ⅳ NT Live［리어왕］- 대전,대전예술의전당 앙상블홀,"2023.11.29~
2023.11.29"
141,뮤직드라마 〈망원동 브라더스〉,제이엘씨어터,"2023.04.08~
2023.12.31"
142,민초,대학로 열린극장,"2023.10.18~
2023.10.22"
143,배소고지이야기-기억의 연못 - 전주,우진문화공간 예술극장,"2023.10.12~
2023.10.13"
144,봄이 오면,대학로 민송아트홀 2관,"2023.11.21~
2023.11.23"
145,부동산 오브 슈퍼맨,대학로예술극장 소극장,"2023.10.14~
2023.10.22"
146,뷰티풀라이프 - 천안,천안예술의전당 소공연장,"2023.12.21~
2023.12.24"
147,비누향기,서연아트홀,"2021.07.10~
2023.10.31"
148,샤프심,대학로 민송아트홀 2관,"2023.11.04~
2023.11.05"
149,서교동에서 죽다 - 서울 꿈빛극장,꿈빛극장,"2023.11.04~
2023.11.05"
150,섬,대학로 민송아트홀 2관,"2023.11.14~
2023.11.16"
151,섹시코미디연극 나의PS파트너 (청주),소명아트홀,"2023.12.01~
2023.12.31"
152,쇼팔다 미친 유령 극단,수유연극실험실,"2023.09.01~
2023.10.15"
153,스쁘라브카-열람,예술공간 혜화,"2023.11.25~
2023.11.26"
154,스위치 - 대전,작은극장 다함,"2023.09.22~
2024.01.01"
155,스카프와 나이프,후암스테이지,"2023.11.14~
2023.11.16"
156,스프레이,꿈의숲_퍼포먼스홀,"2023.11.17~
2023.11.19"
157,시간을 파는 상점 - 대구,여우별아트홀,"2023.12.01~
2024.01.01"
158,시어머니 시집 보내기,홍대 다리 소극장,"2023.11.16~
2023.11.19"
159,신팽슬여사 행장기－대구,소극장 소금창고,"2023.10.12~
2023.10.22"
160,실종법칙,대학로 민송아트홀 2관,"2023.11.18~
2023.11.19"
161,심청길 비밀레시피 - 곡성,곡성군 기차마을 (구) 곡성역,"2023.10.07~
2023.10.09"
162,어차피 겪어야 될 사랑이야기,올림아트센터,"2023.09.22~
2023.11.30"
163,에쿠우스(EQUUS) - 김해,김해서부문화센터 하늬홀,"2023.10.13~
2023.10.14"
164,엔톡 라이브 플러스 ITA Live 〈메디아〉,국립극장 달오름극장,"2023.11.18~
2023.11.24"
165,엔톡 라이브 플러스 NT Live 〈갈매기〉,국립극장 달오름극장,"2023.11.19~
2023.11.26"
166,엔톡 라이브 플러스 NT Live 〈오셀로〉,국립극장 달오름극장,"2023.11.17~
2023.11.25"
167,엔트로피,드림시어터,"2023.09.28~
2023.10.10"
168,여자는 무엇으로 사는가 - 부산,하늘바람소극장,"2023.10.19~
2023.10.26"
169,연극 ＂다르크＂－인천,부평아트센터 달누리 극장,"2023.10.26~
2023.10.26"
